SLC,Eng,Math,Physics,Chemistry,Plus_Two,Eng1,Math2,Phy_Acc,Che_Eco,Mixed,GPA,GPAM,GPAA,School_From,Parent_Education,Pass
2.58,2.8,2.8,2,2.8,2.95,0,0,0,0,0,0,0,F,Govt,SLC,0
3.68,2.8,2.8,2,2.8,3.15,45,42,41,41,45,2.98,75,B,Govt,SLC,1
3.4,1.6,1.6,2,1.6,2.8,41,40,39,37,42,2.48,70,B-,Private,Bachelor,1
3.52,2.8,2.8,2,2.8,3.17,45,36,40,41,44,2.88,75,B,Private,PlusTwo,1
2.5,2,2,2.8,2,2.2,45,44,42,43,43,2.82,75,B,Private,Bachelor,1
3.4,2,2.8,3.6,2.8,3.05,47,46,45,45,47,3.38,85,A-,Govt,SLC,1
3.35,2,2.8,2,2.8,2.62,42,43,44,43,44,3.06,80,B+,Govt,SLC,1
2.4,2,3.6,2.8,3.6,3.6,44,39,38,39,44,2.54,70,B-,Private,SLC,1
3.65,2,2.8,2,2.8,2.95,42,38,34,39,30,1.69,55,C-,Govt,SLC,1
2.8,2,2,2.8,2,2.89,43,43,38,42,43,2.4,70,B-,Govt,SLC,1
3.4,2.8,2,2,2,2.89,45,43,41,44,44,2.8,75,B,Govt,SLC,1
2.9,3.2,2.8,2,2.8,2.34,40,38,33,35,41,0,0,F,Private,SLC,0
3.2,2.8,3.6,2,3.6,3.1,46,45,43,42,43,2.92,75,B,Private,SLC,1
