SLC,Eng,Math,Physics,Chemistry,Plus_Two,Eng1,Math2,Phy_Acc,Che_Eco,Mixed,GPA,GPAM,GPAA,School_From,Parent_Education,Pass
3.45,3.2,2.8,2.8,3.2,3.26,41,35,43,41,35,3.45,85,A-,Govt,Master,1
3.6,3.6,3.2,3.2,2,2.4,42,34.5,45,42,34.5,3.34,85,A-,Private,Master,1
3.6,3.6,3.2,3.6,2.8,3.2,42,35,43,42,35,3.7,85,A-,Private,Bachelor,1
3.6,3.2,3.2,3.6,3.2,3.19,42,35.5,41,42,35.5,3.67,85,A-,Govt,SLC,1
3.6,3.2,3.6,3.2,2.8,3.2,42,35,42,42,35,3.6,85,A-,Private,Bachelor,1
3.65,3.2,2,2,2.4,2.86,42,35.5,44,42,35.5,3.57,85,A-,Govt,Master,1
3.6,2.4,2.8,3.2,3.2,2.99,47,35,35,47,35,3.4,85,A-,Private,Bachelor,1
3.75,3.2,3.2,2.8,3.6,3.39,46,35.5,36,46,35.5,3.69,85,A-,Private,Master,1
3.7,3.6,2.8,3.2,3.6,3.06,46,35.5,34,46,35.5,3.69,85,A-,Private,Bachelor,1
3.65,4,2.8,2.8,2.8,3.13,46,36,46,46,36,3.34,85,A-,Govt,SLC,1
3.35,3.6,2.8,2.8,2.8,2.93,47,36,47,47,36,3.66,85,A-,Private,Bachelor,1
3.5,3.6,2.4,2,3.2,3.06,47,35,47,47,35,3.6,85,A-,Private,PlusTwo,1
3.5,3.2,2.4,2.4,2.8,2.97,47,35.5,47,47,35.5,3.48,85,A-,Private,Bachelor,1
3.2,2.8,3.2,3.2,2,2.8,47,35.5,47,47,35.5,3.45,85,A-,Govt,SLC,1
3.45,3.6,3.2,3.2,3.2,2.84,46,35.5,46,46,35.5,3.49,85,A-,Private,Master,1
3.6,3.6,3.2,2.8,2,3.2,46,36,46,46,36,3.72,90,A,Private,Bachelor,1
3.2,3.2,2,2,2,2.77,47,34.5,47,47,34.5,3.66,85,A-,Govt,SLC,1
3.5,3.2,2.4,2.8,2.8,2.93,46,35.5,46,46,35.5,3.48,85,A-,Private,Bachelor,1
3.75,2.8,2.4,2,3.6,3.06,47,35.5,47,47,35.5,3.49,85,A-,Private,PlusTwo,1
3.8,3.2,2.4,3.6,3.6,3.26,46,36,46,46,36,3.66,85,A-,Private,Bachelor,1
3.35,3.2,2,2,2.4,2.64,47,36,47,47,36,3.87,90,A,Govt,SLC,1
3.6,3.2,2.4,2,2.8,2.93,47,35.5,47,47,35.5,3.69,85,A-,Private,Master,1
3.2,2.8,3.6,2.8,3.2,2.4,46,35,46,46,35,3.48,85,A-,Govt,PlusTwo,1
3.55,3.2,2.8,2.8,2.8,2.93,46,35,46,46,35,3.43,85,A-,Private,Master,1
3.7,2.8,2.8,2.4,3.2,2.86,47,35.5,47,47,35.5,3.77,90,A,Private,SLC,1
3.65,3.6,3.2,3.2,2.8,3.42,39,35.5,39,39,35.5,3.69,85,A-,Private,Master,1
3.2,2.4,2.8,2.8,2.8,2.72,47,45,46,42,44,3.8,90,A,Private,SLC,1
3.35,2.8,2.8,2.8,3.2,3.15,41,40,36,36,35,2.72,75,B,Govt,Bachelor,1
3,3.2,4,2.8,4,3.54,47,48,46,34,43.5,3.6,85,A-,Govt,PlusTwo,1
3.75,3.6,3.2,2.8,3.2,3.31,48,48,43,40,43.5,3.8,90,A,Private,PlusTwo,1
3.55,2.4,3.2,2.8,2.4,2.83,0,0,0,0,0,0,0,F,Private,SLC,0
3.7,3.2,4,3.2,3.6,3.35,45,46,40,37,42,3.2,80,B+,Govt,Master,1
3.7,3.2,4,2.4,4,3.36,45,49,45,40,43,3.68,85,A-,Private,Master,1
3.1,3.2,3.2,1.6,2.8,2.69,46,40,38,33,41,2.86,75,B,Private,Bachelor,1
3.1,2.8,3.2,3.6,3.6,3.46,43,44,38,38,38.5,2.92,75,B,Govt,SLC,1
3.55,3.2,4,3.2,3.6,3.36,46,49,46,45,42.5,3.94,90,A,Private,Bachelor,1
3.6,3.2,4,2.8,3.6,3.36,43,45,45,42,44.5,3.68,85,A-,Govt,Master,1
3.5,2.8,3.2,3.2,3.2,3.2,48,49,46,44,48,3.94,90,A,Private,Bachelor,1
3.55,3.2,4,2.8,2.8,3.01,49,40,37,43,44.5,1.71,60,C,Private,Master,1
3.25,2.4,3.6,2.4,3.6,2.88,40,41,42,43,43.5,3.34,85,A-,Private,Bachelor,1
3.4,2.8,3.6,2.4,3.2,3.14,45,46,45,35,38,3.32,85,A-,Govt,SLC,1
3.4,2,2.8,3.2,3.2,2.84,35,40,38,32,36,2.46,70,B-,Govt,SLC,1
3.45,2.8,3.2,2.8,3.2,2.96,47,37,37,30,35,2.54,70,B-,Private,Master,1
3.55,2.4,4,3.2,3.2,3.12,48,49,45,31,40,3.68,85,A-,Private,Master,1
3.2,3.2,3.2,3.2,2.8,3.59,46,40,40,35,35,0,0,F,Private,Bachelor,0
3.5,3.2,3.6,3.2,3.6,3.44,45,38,40,32,38,0,0,F,Private,SLC,0
3.4,1.6,2,2.8,2.4,2.28,47,46,49,40,48,3.68,85,A-,Govt,PlusTwo,1
3.55,2,2.8,3.2,2,2.33,40,40,26,29,36,2.5,70,B-,Private,Master,1
3.45,2.8,2.8,2,3.6,2.99,40,40,30,27,35.5,0,0,F,Govt,Bachelor,0
3.3,2.8,3.6,3.6,3.6,3.36,46,46,37,35,39,2.72,75,B,Private,Bachelor,1
3.55,3.2,3.6,2,2.4,2.72,45,42,42,34,42,3.34,85,A-,Govt,PlusTwo,1
3.2,3.2,3.6,2.8,4,3.12,48,46,40,36,45.5,1.6,55,C-,Govt,Master,1
3.45,3.2,3.6,2.8,2.8,2.71,0,0,0,0,0,0,0,F,Private,Master,0
3.5,2.4,4,2.4,3.2,2.88,43,46,38,33,35,0,0,F,Private,Bachelor,0
2.95,2.8,3.6,2,2.4,2.64,40,45,37,31,35,2.34,70,B-,Private,PlusTwo,1
3.55,3.2,4,3.2,3.6,3.44,45,47,41,37,42,3.14,80,B+,Private,Bachelor,1
3.4,3.2,3.6,2.8,3.2,3.04,46,47,40,40,44,3.54,85,A-,Govt,SLC,1
3.5,2.8,2,2.8,3.6,3.13,39,40,30,31,35,0,0,F,Private,Master,0
3.45,3.2,3.2,2.8,2.4,2.88,45,31,35,33,37,0,0,F,Private,Bachelor,0
3.6,2.4,3.6,3.2,3.2,3.04,42,35,31,33,35,0,0,F,Govt,SLC,0
3.3,3.2,3.2,2.8,2.8,3.07,43,40,40,36,40,2.92,75,B,Private,Bachelor,1
3.35,2.8,4,2.4,3.2,2.96,45,30,36,29,35,0,0,F,Private,PlusTwo,0
3.3,2.8,3.2,2.4,3.6,2.88,46,46,46,47,41,3.66,85,A-,Private,Bachelor,1
3.4,2.8,3.2,2.4,2.8,2.84,45,40,38,32,38.5,2.32,70,B-,Govt,SLC,1
3.14,2.4,3.6,3.2,3.6,3.2,27,40,35,0,0,0,0,F,Private,Master,0
3.1,3.2,3.6,3.6,3.6,3.45,45,49,45,43,46,3.88,90,A,Govt,SLC,1
3.15,3.2,3.2,2.4,3.2,2.96,42,46,42,40,47,3.48,85,A-,Private,Master,1
3.65,2.8,4,3.2,3.2,3.28,47,30,37,34,36,2.54,70,B-,Private,Master,1
3.35,2.8,2.8,2,2,3.36,42,35,35,32,44.5,1.72,60,C,Private,Bachelor,1
3.45,2.8,3.2,3.2,3.6,3.12,43,40,38,36,40,0,0,F,Private,Master,0
3.05,2.8,3.2,3.2,3.6,3.12,49,49,49,47,48,4,90,A,Private,Bachelor,1
3.45,3.2,2.8,2.8,3.2,3.21,47,40,40,34,41,3.1,80,B+,Govt,SLC,1
3.5,2.8,3.6,2.8,3.2,3.12,45,41,45,36,40.5,3.6,85,A-,Private,Bachelor,1
3.25,3.2,3.2,2.4,3.2,2.82,41,35,32,30,39,0,0,F,Private,PlusTwo,0
3.5,3.2,3.2,3.2,2.8,3.11,48,42,37,36,45,3.14,80,B+,Private,Bachelor,1
3.7,2.4,2.8,3.6,2.8,2.99,47,49,45,46,50,4,90,A,Govt,SLC,1
3.2,3.2,4,3.6,3.2,3.36,48,42,42,40,47,3.8,90,A,Private,Master,1
3.07,2,3.6,3.2,3.2,2.44,47,47,50,39,41,3.66,85,A-,Private,Bachelor,1
3.85,3.2,3.2,2.8,2.8,2.96,49,36,36,38,46,3.8,90,A,Govt,SLC,1
3.45,2.4,3.6,3.2,4,3.15,45,30,43,37,37,3.18,80,B+,Private,Bachelor,1
3.55,3.2,3.6,2.8,2.8,2.96,40,30,32,31,40,2.02,65,C+,Private,PlusTwo,1
3.3,3.2,3.6,2.4,3.6,3.12,47,40,38,40,40,2.74,75,B,Private,Bachelor,1
3.3,3.6,2.8,3.2,2,2.96,0,0,0,0,0,0,0,F,Govt,SLC,0
3.3,3.2,3.2,2.8,2.8,2.96,45,33,35,35,42.5,2.6,70,B-,Private,Master,1
3.55,3.2,4,3.6,4,3.52,47,49,49,43,47,3.8,90,A,Govt,PlusTwo,1
2.95,2.4,3.2,2.4,2.8,2.74,43,32,35,31,38.5,2.38,70,B-,Private,Master,1
3.35,2.8,4,2.4,2.8,3.04,44,35,43,40,39,0,0,F,Private,SLC,0
